country,lat,long
"Athens, Greece",37.9838,23.7275
"Rome, Italy",41.9028,12.4964
"Antibes, France",43.5804,7.1251
"Madrid, Spain",40.4168,-3.7038
"Kaanapali, Maui",20.9297,-156.694
"New York City, USA",40.7128,-74.006
"Portland, USA",45.5152,-122.6784
"Seattle, USA",47.6062,-122.3321
"Mexico City, Mexico",19.4326,-99.1332
"London, England",51.5074,-0.1278
"Mallorca, Spain",39.6953,3.0176
"Crete, Greece",35.2401,24.8093
"Lisbon, Portugal ",38.7223,-9.1393
"Cabo, Mexico",22.8905,-109.9167
"Tokyo, Japan",35.6764,139.65
"Zurich, Switzerland",47.3769,8.5417
"Barcelona, Spain",41.3874,2.1686
"Valencia, Spain",39.4699,-0.3763
"Death Valley, USA",36.5323,-116.9325
